Scraping_Date,Type,Description,Bedrooms,Bathrooms,Area,Down Payment,Price,Location
2025-03-31,Apartment,"Apartment for sale,1 bed, very special location",1,1, 69 sqm," 510,000 EGP","5,100,000 EGP","MonteNapoleone, Mostakbal City Compounds, Mostakbal City - Future City, Cairo"
2025-03-31,Apartment,Fully finished 3-bedrooms apartment ready to move,3,2, 178 sqm,Cash,"5,300,000 EGP","One Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo"
2025-03-31,Villa,RTM Villa F.Finished 682m | Prime Location | CFC,6,6, 682 sqm,Cash,"80,000,000 EGP","Cairo Festival City, North Investors Area, New Cairo City, Cairo"
2025-03-31,iVilla,RESALE IVILLA+garden 80m Direct on LAGOON\MV-ICITY,4,4, 255 sqm,Cash,"14,850,000 EGP","Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo"
2025-03-31,Apartment,OWN Apartment with 5Y INST. \ Landscape View,2,2, 110 sqm," 836,000 EGP","4,180,000 EGP","The Icon Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo"
2025-03-31,Apartment,Premium Studio for sale in The Village,1,1, 88 sqm,Cash,"5,500,000 EGP","The Village, South Investors Area, New Cairo City, Cairo"
2025-03-31,Apartment,Special price Apartment with Garden/Ready To Move,3,2, 169 sqm,Cash,"8,700,000 EGP","El Patio Oro, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo"
2025-03-31,Chalet,Fully finished chalet for sale in Ain Sokhna,1,1, 65 sqm,Cash,"3,530,000 EGP","G-Bay, Al Ain Al Sokhna, Suez"
2025-03-31,Villa,Makadi Orcsom Villa 4BR / Finished /Installment 5y,4,4, 164 sqm," 2,500,000 EGP","25,000,000 EGP","Mangroovy Residence, Al Gouna, Hurghada, Red Sea"
2025-03-31,Penthouse,"At a special price, a chalet with a sea view in mv",2,2, 92 sqm," 540,000 EGP","6,547,752 EGP","Skala Mountain View Ras El Hikma, North Coast Resorts, North Coast"
2025-03-31,Villa,Villa at Price of Apartment Finished In Mostakbal,3,3, 200 sqm," 1,282,500 EGP","14,250,000 EGP","MonteNapoleone, Mostakbal City Compounds, Mostakbal City - Future City, Cairo"
2025-03-31,Chalet,Hot Deal Marassi Marina Furnished Prime Location,1,1, 75 sqm,Cash,"12,500,000 EGP","Marassi, Sidi Abdel Rahman, North Coast"
2025-03-31,Villa,villa 3 BR / finished / plot 400m / installment 7y,3,3, 158 sqm," 1,880,000 EGP","18,800,000 EGP","Mesca, Soma Bay, Safaga, Hurghada, Red Sea"
2025-03-31,Apartment,Bay 290K Own Apartment with installment on 10years,1,1, 90 sqm,Cash,"5,800,000 EGP","The Crest, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo"
2025-03-31,Townhouse,RTM Townhouse DP 10%-INST 12Y-Landscape+Water View,3,5, 245 sqm," 2,100,000 EGP","21,000,000 EGP","R5, New Capital City, Cairo"
2025-03-31,Apartment,Immediate Apartment FullyFinished - Landscape View,3,2, 151 sqm," 468,000 EGP","4,680,000 EGP","Al Maqsad, New Capital Compounds, New Capital City, Cairo"
2025-03-31,Apartment,"Duplex in Zayed, near Ahly, 0% down, 10-year plan.",4,4, 270 sqm,Cash,"4,990,000 EGP","Ivoire, Sheikh Zayed City, Giza"
2025-03-31,Villa,Own Resale RTM  | Villa 7 Bedrooms | Land 645 Sqm,7,7, 500 sqm,Cash,"30,000,000 EGP","Palm Hills   Palm Valley, 26th of July Corridor, 6 October City, Giza"
2025-03-31,Townhouse,RTM - FF Townhouse -PRIME location in R5 -INST 12Y,3,6, 310 sqm," 2,900,000 EGP","29,000,000 EGP","R5, New Capital City, Cairo"
2025-03-31,Villa,UNIQUEe Villa ready for live in Zahya New Mansoura,5,4, 360 sqm,Cash,"6,300,000 EGP","Zahya New Mansoura, New Mansoura, Al Daqahlya"
2025-03-31,Villa,Resale Villa Landscapeview Prime Location Bellagio,5,4, 510 sqm,Cash,"43,000,000 EGP","Bellagio, Ext North Inves Area, New Cairo City, Cairo"
2025-03-31,Villa,Own Resale Villa | 4 Bedrooms | بحرى| Market Price,4,4, 313 sqm,Cash,"26,000,000 EGP","Palm Hills Golf Extension, Al Wahat Road, 6 October City, Giza"
2025-03-31,Chalet,Chalet Finished ACs/ Sand Pools view / Installment,1,1, 64 sqm," 2,100,000 EGP","14,000,000 EGP","Kamaran, Al Gouna, Hurghada, Red Sea"
2025-03-31,Apartment,"finished Apartment for sale, RTM  in Al Marasem",4,3, 205 sqm,Cash,"6,500,000 EGP","Moon Residences, Fifth Square, The 5th Settlement, New Cairo City, Cairo"
2025-03-31,Apartment,Own in Zed East F.F+Ac`s Apartment Landscape View,3,3, 200 sqm," 3,900,000 EGP","17,700,000 EGP","Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo"
2025-03-31,Chalet,Chalet Fully Finished /Prime Location/ Installment,1,1, 72 sqm," 690,000 EGP","6,900,000 EGP","Mesca, Soma Bay, Safaga, Hurghada, Red Sea"
2025-03-31,Apartment,Pay 680k own apt 3-bed installment 12y near Auc,3,3, 160 sqm," 680,000 EGP","6,800,000 EGP","The Icon Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo"
2025-03-31,Twin House,Resale Twin House | Land 465 | 5 Bedrooms | بحرى,5,5, 450 sqm,Cash,"22,500,000 EGP","Palmet, 26th of July Corridor, 6 October City, Giza"
2025-03-31,Apartment,RTM APT Panorama Sea View | F.F+ AC`s | North EDGE,3,3, 181 sqm,Cash,"22,000,000 EGP","North Edge Towers, New Alamein City, Al Alamein, North Coast"
2025-03-31,Twin House,HOT DEAL MVHP Twin House Delivered Prime Location,4,5, 375 sqm,Cash,"25,000,000 EGP","Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo"
2025-03-31,Apartment,Finished Ground Apartment By MV over 12y Lowest DP,3,4, 155 sqm,Cash,"2,500,000 EGP","Mountain View iCity October, 6 October Compounds, 6 October City, Giza"
2025-03-31,Apartment,Chalet 2BR Garden View / Finished /Installment 8y,2,2, 112 sqm," 1,230,000 EGP","8,200,000 EGP","Veranda, Sahl Hasheesh, Hurghada, Red Sea"
2025-03-31,Twin House,Twin House for sale in Uptown Cairo Eleva,4,3, 280 sqm,Cash,"29,500,000 EGP","Eleva, Uptown Cairo, Mokattam, Cairo"
2025-03-31,Apartment,APT 160 m Ready To Move New Cairo Fifth Settlement,3,2, 165 sqm," 1,500,000 EGP","5,000,000 EGP","Al Ashrafiya, North Investors Area, New Cairo City, Cairo"
